설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자
중계1동주민센터(중계주공4단지방면)버스정류장,서울특별시,노원구,서울특별시 노원구 한글비석로 276,,37.65189706,127.0777654,,일반쓰레기,서울특별시 노원구청,,2025-03-26
원자력병원 버스정류장,서울특별시,노원구,서울특별시 노원구 노원로 75,,37.62881715,127.082693,,일반쓰레기,서울특별시 노원구청,,2025-03-26
우방아파트 앞 버스정류장(502동 앞),서울특별시,노원구,서울특별시 노원구 노원로 58,,37.62692051,127.0883803,,일반쓰레기,서울특별시 노원구청,,2025-03-26
태능국제종합사격장(서울여대방면)버스정류장,서울특별시,노원구,서울특별시 노원구 화랑로 653,,37.62961285,127.0950867,,일반쓰레기,서울특별시 노원구청,,2025-03-26
중계주공 9단지(주공905동 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 노원로16길 15,,37.64344507,127.0733372,,일반쓰레기,서울특별시 노원구청,,2025-03-26
용화여고 앞 택시정류장,서울특별시,노원구,서울특별시 노원구 동일로 1461,,37.65913138,127.0582807,,일반쓰레기,서울특별시 노원구청,,2025-03-26
임광아파트 2동 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로221길 22,,37.6599719,127.0573759,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계10동 우체국 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 노원로 510,,37.66093573,127.0625889,,일반쓰레기,서울특별시 노원구청,,2025-03-26
수락홈마트 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로242길 11,,37.67584698,127.0562724,,일반쓰레기,서울특별시 노원구청,,2025-03-26
그랑디오피스텔 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 월계로 334,,37.62901731,127.0576125,,일반쓰레기,서울특별시 노원구청,,2025-03-26
청백아파트 103동 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 초안산로 12,,37.63034387,127.0544999,,일반쓰레기,서울특별시 노원구청,,2025-03-26
계상초등학교 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 한글비석로41가길 24,,37.66219777,127.0686777,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계5동주민센터 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 한글비석로 434,,37.66298077,127.0693673,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계벽산아파트 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 상계로 182,,37.66090389,127.0735754,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계2동주민센터 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 상계로 118,,37.65748313,127.0678641,,일반쓰레기,서울특별시 노원구청,,2025-03-26
한내지혜의숲 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 마들로 86,,37.62358892,127.0687828,,일반쓰레기,서울특별시 노원구청,,2025-03-26
한내근린공원 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 마들로 86,,37.62358892,127.0687828,,일반쓰레기,서울특별시 노원구청,,2025-03-26
오피앙오피스텔 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1690-2,,37.67928212,127.0555505,,일반쓰레기,서울특별시 노원구청,,2025-03-26
파르코오피스텔 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1690-2,,37.67928212,127.0555505,,일반쓰레기,서울특별시 노원구청,,2025-03-26
중계동 364-4 정담공원 내부,서울특별시,노원구,서울특별시 노원구 중계로 169,,37.65026232,127.0807682,,일반쓰레기,서울특별시 노원구청,,2025-03-26
서울과학기술대학교 맞은편 버스정류장,서울특별시,노원구,서울특별시 노원구 공릉로 232,,37.63307893,127.0767947,,일반쓰레기,서울특별시 노원구청,,2025-03-26
브라운스톤 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로203가길 29,,37.63987596,127.0642838,,일반쓰레기,서울특별시 노원구청,,2025-03-26
하계1동주민센터 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 노원로16길 15,,37.64344507,127.0733372,,일반쓰레기,서울특별시 노원구청,,2025-03-26
온곡중학교 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1456,,37.66067691,127.0614956,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공14단지(1403동) 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로228길 23,,37.66985723,127.0587456,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공3단지(301동) 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1378-2,,37.65173576,127.0614564,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원구청 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 노해로 437,,37.65451904,127.0562972,,일반쓰레기,서울특별시 노원구청,,2025-03-26
대한적십자사 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1324-2,,37.64700938,127.0633425,,일반쓰레기,서울특별시 노원구청,,2025-03-26
수락중고등학교 버스정류장(11205),서울특별시,노원구,서울특별시 노원구 동일로250길 17,,37.68246227,127.0567709,,일반쓰레기,서울특별시 노원구청,,2025-03-26
수락중고등학교 버스정류장(11204),서울특별시,노원구,서울특별시 노원구 동일로 1729,,37.68314469,127.0548083,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공2단지 상가 버스정류장(11463),서울특별시,노원구,서울특별시 노원구 동일로215길 81,,37.65022613,127.0568651,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공2단지 버스정류장(11254),서울특별시,노원구,서울특별시 노원구 동일로215길 23,,37.6504211,127.0590691,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계주공9단지 버스정류장(11191),서울특별시,노원구,서울특별시 노원구 노원로 532,,37.66461677,127.0598168,,일반쓰레기,서울특별시 노원구청,,2025-03-26
청원고등학교 버스정류장(11190),서울특별시,노원구,서울특별시 노원구 노원로38길 76,,37.66385315,127.061985,,일반쓰레기,서울특별시 노원구청,,2025-03-26
KT플라자 노원점 버스정류장(11601),서울특별시,노원구,서울특별시 노원구 노해로 502,,37.65445005,127.0636923,,일반쓰레기,서울특별시 노원구청,,2025-03-26
순복음교회 버스정류장(11680),서울특별시,노원구,서울특별시 노원구 노해로 508,,37.65470356,127.066191,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계중앙하이츠2단지 버스정류장(11430),서울특별시,노원구,서울특별시 노원구 노원로 428,,37.65452808,127.0683534,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계중학교정문 버스정류장(11261),서울특별시,노원구,서울특별시 노원구 동일로216길 92,,37.65052082,127.0673497,,일반쓰레기,서울특별시 노원구청,,2025-03-26
건영옴니백화점 버스정류장(11368),서울특별시,노원구,서울특별시 노원구 섬밭로 265,,37.63828612,127.0627122,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원평생학습관 버스정류장(11387),서울특별시,노원구,서울특별시 노원구 동일로204가길 12,,37.63985808,127.068668,,일반쓰레기,서울특별시 노원구청,,2025-03-26
하계한신청구아파트 버스정류장(11444),서울특별시,노원구,서울특별시 노원구 공릉로 351,,37.63815992,127.0680314,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원롯데캐슬시그니처아파트 버스정류장(11229),서울특별시,노원구,서울특별시 노원구 덕릉로 753,,37.66507422,127.0775817,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원롯데캐슬시그니처아파트 버스정류장(11230),서울특별시,노원구,서울특별시 노원구 덕릉로 753,,37.66507422,127.0775817,,일반쓰레기,서울특별시 노원구청,,2025-03-26
"상계3,4동주민센터 버스정류장(11994)",서울특별시,노원구,서울특별시 노원구 덕릉로 872,,37.67350344,127.0843883,,일반쓰레기,서울특별시 노원구청,,2025-03-26
원광초등학교 버스정류장(11365),서울특별시,노원구,서울특별시 노원구 중계로 230,,37.65101324,127.0750479,,일반쓰레기,서울특별시 노원구청,,2025-03-26
청암중고등학교 버스정류장(11361),서울특별시,노원구,서울특별시 노원구 덕릉로76길 18,,37.65431092,127.0749142,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상명초등학교 버스정류장(11377),서울특별시,노원구,서울특별시 노원구 덕릉로 541,,37.64872348,127.0669678,,일반쓰레기,서울특별시 노원구청,,2025-03-26
중계3단지목련아파트 버스정류장(11378),서울특별시,노원구,서울특별시 노원구 노원로 331,,37.64617746,127.0696600112,,일반쓰레기,서울특별시 노원구청,,2025-03-26
홈플러스중계점 버스정류장(11443),서울특별시,노원구,서울특별시 노원구 노원로15길 51-10,,37.63973051,127.0700338,,일반쓰레기,서울특별시 노원구청,,2025-03-26
